"ADMINID","ENRORGID","PERMNUMBER","GRADE","GRADEBEGIN","GRADEEND","SY"
"SU021","PS187","1240851","11","09/08/2020","","2021"
"SU021","PS187","1240912","12","09/08/2020","09/10/2020","2021"
"SU021","PS187","1240912","12","11/05/2020","","2021"
"SU021","PS187","1241210","10","09/08/2020","","2021"
"SU021","PS187","1241326","12","09/08/2020","","2021"
"SU021","PS187","1242777","11","09/08/2020","","2021"
"SU021","PS187","1242778","11","09/08/2020","","2021"
"SU021","PS187","1242804","11","09/08/2020","","2021"
"SU021","PS187","1242816","11","09/08/2020","","2021"
"SU021","PS187","1242829","11","09/08/2020","","2021"
"SU021","PS187","1242848","11","09/08/2020","","2021"
"SU021","PS187","1242859","11","09/08/2020","","2021"
"SU021","PS187","1242928","11","09/08/2020","","2021"
"SU021","PS187","1242982","11","09/08/2020","","2021"
"SU021","PS187","1242992","10","09/08/2020","","2021"
"SU021","PS187","1243010","11","09/08/2020","","2021"
"SU021","PS187","1243021","11","09/08/2020","","2021"
"SU021","PS187","1243056","11","09/08/2020","","2021"
"SU021","PS187","1243088","10","09/08/2020","","2021"
"SU021","PS187","1243098","11","09/08/2020","","2021"
"SU021","PS187","1243123","11","09/08/2020","","2021"
"SU021","PS187","1243126","11","09/08/2020","","2021"
"SU021","PS187","1243156","11","09/08/2020","","2021"
"SU021","PS187","1243177","11","09/08/2020","","2021"
"SU021","PS187","1243181","11","09/08/2020","","2021"
"SU021","PS187","1243278","11","09/08/2020","","2021"
"SU021","PS187","1243289","11","09/08/2020","","2021"
"SU021","PS187","1243305","11","09/08/2020","","2021"
"SU021","PS187","1243367","11","09/08/2020","","2021"
"SU021","PS187","1243373","11","09/08/2020","","2021"
"SU021","PS187","1243392","11","09/08/2020","","2021"
"SU021","PS187","1243396","11","09/08/2020","","2021"
"SU021","PS187","1243430","11","09/08/2020","","2021"
"SU021","PS187","1243455","11","09/08/2020","","2021"
"SU021","PS187","1243517","10","09/08/2020","","2021"
"SU021","PS187","1243600","11","09/08/2020","","2021"
"SU021","PS187","1243719","10","09/08/2020","","2021"
"SU021","PS187","1243767","12","09/08/2020","","2021"
"SU021","PS187","1243903","11","09/08/2020","","2021"
"SU021","PS187","1243961","10","09/08/2020","","2021"
"SU021","PS187","1244060","11","09/08/2020","","2021"
"SU021","PS187","1244124","11","09/08/2020","","2021"
"SU021","PS187","1244129","12","09/08/2020","","2021"
"SU021","PS187","1244323","10","09/08/2020","02/05/2021","2021"
"SU021","PS187","1244323","10","02/10/2021","","2021"
"SU021","PS187","1244921","12","09/08/2020","01/24/2021","2021"
"SU021","PS187","1245752","10","09/08/2020","","2021"
"SU021","PS187","1245969","10","09/08/2020","","2021"
"SU021","PS187","1246143","10","09/08/2020","","2021"
"SU021","PS187","1246979","11","09/08/2020","","2021"
"SU021","PS295","1248082","06","09/08/2020","","2021"
"SU021","PS187","1248141","07","09/08/2020","","2021"
"SU021","PS187","1248160","10","09/08/2020","","2021"
"SU021","PS295","1248169","06","09/08/2020","","2021"
"SU021","PS142","1248199","06","09/08/2020","","2021"
"SU021","PS187","1248200","11","09/08/2020","","2021"
"SU021","PS187","1248274","07","09/08/2020","","2021"
"SU021","PS187","1248320","07","09/08/2020","","2021"
"SU021","PS187","1248323","08","09/08/2020","","2021"
"SU021","PS295","1248440","06","09/08/2020","","2021"
"SU021","PS187","1248446","10","09/08/2020","","2021"
"SU021","PS142","1248527","06","09/08/2020","","2021"
"SU021","PS187","1248600","11","09/08/2020","","2021"
"SU021","PS187","1248602","07","09/08/2020","","2021"
"SU021","PS187","1248785","08","09/08/2020","","2021"
"SU021","PS187","1248812","10","09/08/2020","","2021"
"SU021","PS187","1248870","10","09/08/2020","","2021"
"SU021","PS142","1248881","06","09/08/2020","","2021"
"SU021","PS187","1248899","08","09/08/2020","","2021"
"SU021","PS187","1248936","07","01/19/2021","","2021"
"SU021","PS187","1248974","08","09/08/2020","","2021"
"SU021","PS187","1249018","11","09/08/2020","","2021"
"SU021","PS187","1249173","10","09/08/2020","01/24/2021","2021"
"SU021","PS142","1249207","06","09/08/2020","","2021"
"SU021","PS142","1249344","06","09/08/2020","","2021"
"SU021","PS115","1249351","06","09/08/2020","","2021"
"SU021","PS187","1249375","08","09/08/2020","","2021"
"SU021","PS295","1249401","06","09/08/2020","02/17/2021","2021"
"SU021","PS295","1249403","06","09/08/2020","","2021"
"SU021","PS295","1249412","06","09/08/2020","","2021"
"SU021","PS142","1249534","06","09/08/2020","","2021"
"SU021","PS115","1249563","06","09/08/2020","","2021"
"SU021","PS187","1249653","07","09/08/2020","","2021"
"SU021","PS187","1249720","10","09/08/2020","","2021"
"SU021","PS187","1249735","08","09/08/2020","","2021"
"SU021","PS187","1249769","07","09/08/2020","","2021"
"SU021","PS115","1249788","06","09/08/2020","","2021"
"SU021","PS187","1249815","09","09/08/2020","","2021"
"SU021","PS187","1249863","07","09/08/2020","","2021"
"SU021","PS295","1249872","06","09/08/2020","","2021"
"SU021","PS142","1249876","06","09/08/2020","","2021"
"SU021","PS142","1249905","06","09/08/2020","","2021"
"SU021","PS187","1249932","07","09/08/2020","","2021"
"SU021","PS142","1249947","06","09/08/2020","","2021"
"SU021","PS142","1249966","06","09/08/2020","","2021"
"SU021","PS187","1250006","08","09/08/2020","","2021"
"SU021","PS295","1250034","06","09/08/2020","","2021"
"SU021","PS187","1250128","07","09/08/2020","","2021"
"SU021","PS187","1250131","10","09/08/2020","02/08/2021","2021"
"SU021","PS187","1250147","07","09/08/2020","","2021"
"SU021","PS187","1250148","07","09/08/2020","","2021"
"SU021","PS187","1250249","10","09/08/2020","","2021"
"SU021","PS187","1250350","07","09/08/2020","","2021"
"SU021","PS187","1250362","09","09/08/2020","","2021"
"SU021","PS295","1250366","06","09/08/2020","","2021"
"SU021","PS187","1250430","09","09/08/2020","03/07/2021","2021"
"SU021","PS142","1250448","06","09/08/2020","","2021"
"SU021","PS187","1250667","07","09/08/2020","","2021"
"SU021","PS187","1250687","08","09/08/2020","","2021"
"SU021","PS187","1250782","07","09/16/2020","","2021"
"SU021","PS187","1250827","07","09/08/2020","","2021"
"SU021","PS187","1250837","08","09/08/2020","","2021"
"SU021","PS187","1250885","08","09/08/2020","","2021"
"SU021","PS187","1250946","09","09/08/2020","","2021"
"SU021","PS295","1251136","06","09/08/2020","","2021"
"SU021","PS187","1251269","08","09/08/2020","","2021"
"SU021","PS187","1251369","07","09/08/2020","","2021"
"SU021","PS295","1251388","06","09/08/2020","","2021"
"SU021","PS295","1251402","06","12/02/2020","","2021"
"SU021","PS187","1251485","11","09/08/2020","","2021"
"SU021","PS187","1251490","08","09/08/2020","","2021"
"SU021","PS187","1251675","07","09/08/2020","","2021"
"SU021","PS187","1251717","07","09/08/2020","","2021"
"SU021","PS115","1251722","06","09/08/2020","","2021"
"SU021","PS187","1251782","07","09/08/2020","","2021"
"SU021","PS187","1251796","07","09/08/2020","","2021"
"SU021","PS187","1251818","07","09/08/2020","","2021"
"SU021","PS187","1251823","09","09/08/2020","09/08/2020","2021"
